Model=CNNV5dropout, Epoch 11/50: BatchSize=32, Loss=0,165648, MSE=0,201160, RMSE=0,448509, R²=0,139458
Model=CNNV5dropout, Epoch 12/50: BatchSize=32, Loss=0,176386, MSE=0,193158, RMSE=0,439498, R²=0,173690
Model=CNNV5dropout, Epoch 13/50: BatchSize=32, Loss=0,207565, MSE=0,188126, RMSE=0,433735, R²=0,195215
Model=CNNV5dropout, Epoch 14/50: BatchSize=32, Loss=0,179749, MSE=0,187907, RMSE=0,433482, R²=0,196156
Model=CNNV5dropout, Epoch 15/50: BatchSize=32, Loss=0,175735, MSE=0,186245, RMSE=0,431561, R²=0,203264
Model=CNNV5dropout, Epoch 16/50: BatchSize=32, Loss=0,175863, MSE=0,178890, RMSE=0,422953, R²=0,234730
Model=CNNV5dropout, Epoch 17/50: BatchSize=32, Loss=0,197830, MSE=0,186787, RMSE=0,432189, R²=0,200946
Model=CNNV5dropout, Epoch 18/50: BatchSize=32, Loss=0,157171, MSE=0,178830, RMSE=0,422883, R²=0,234984
Model=CNNV5dropout, Epoch 19/50: BatchSize=32, Loss=0,187707, MSE=0,180095, RMSE=0,424376, R²=0,229574
Model=CNNV5dropout, Epoch 20/50: BatchSize=32, Loss=0,181835, MSE=0,171368, RMSE=0,413966, R²=0,266907
Model=CNNV5dropout, Epoch 21/50: BatchSize=32, Loss=0,166945, MSE=0,166702, RMSE=0,408291, R²=0,286869
Model=CNNV5dropout, Epoch 22/50: BatchSize=32, Loss=0,160282, MSE=0,170296, RMSE=0,412670, R²=0,271491
Model=CNNV5dropout, Epoch 23/50: BatchSize=32, Loss=0,136376, MSE=0,165804, RMSE=0,407190, R²=0,290709
Model=CNNV5dropout, Epoch 24/50: BatchSize=32, Loss=0,144635, MSE=0,163836, RMSE=0,404767, R²=0,299126
Model=CNNV5dropout, Epoch 25/50: BatchSize=32, Loss=0,143947, MSE=0,165057, RMSE=0,406272, R²=0,293905
Model=CNNV5dropout, Epoch 26/50: BatchSize=32, Loss=0,148922, MSE=0,165030, RMSE=0,406239, R²=0,294018
Model=CNNV5dropout, Epoch 27/50: BatchSize=32, Loss=0,116998, MSE=0,159753, RMSE=0,399692, R²=0,316592
Model=CNNV5dropout, Epoch 28/50: BatchSize=32, Loss=0,128060, MSE=0,156827, RMSE=0,396014, R²=0,329109
Model=CNNV5dropout, Epoch 29/50: BatchSize=32, Loss=0,164141, MSE=0,154713, RMSE=0,393336, R²=0,338154
Model=CNNV5dropout, Epoch 30/50: BatchSize=32, Loss=0,274908, MSE=0,156427, RMSE=0,395509, R²=0,330821
Model=CNNV5dropout, Epoch 31/50: BatchSize=32, Loss=0,159813, MSE=0,152524, RMSE=0,390544, R²=0,347518
Model=CNNV5dropout, Epoch 32/50: BatchSize=32, Loss=0,147398, MSE=0,151043, RMSE=0,388642, R²=0,353855
Model=CNNV5dropout, Epoch 33/50: BatchSize=32, Loss=0,144958, MSE=0,155260, RMSE=0,394031, R²=0,335814
Model=CNNV5dropout, Epoch 34/50: BatchSize=32, Loss=0,156918, MSE=0,145240, RMSE=0,381103, R²=0,378680
Model=CNNV5dropout, Epoch 35/50: BatchSize=32, Loss=0,119951, MSE=0,147474, RMSE=0,384024, R²=0,369121
Model=CNNV5dropout, Epoch 36/50: BatchSize=32, Loss=0,188308, MSE=0,148612, RMSE=0,385503, R²=0,364253
Model=CNNV5dropout, Epoch 37/50: BatchSize=32, Loss=0,169349, MSE=0,146906, RMSE=0,383283, R²=0,371552
Model=CNNV5dropout, Epoch 38/50: BatchSize=32, Loss=0,166860, MSE=0,144767, RMSE=0,380482, R²=0,380704
Model=CNNV5dropout, Epoch 39/50: BatchSize=32, Loss=0,132831, MSE=0,143430, RMSE=0,378722, R²=0,386421
Model=CNNV5dropout, Epoch 40/50: BatchSize=32, Loss=0,143300, MSE=0,145545, RMSE=0,381504, R²=0,377375
Model=CNNV5dropout, Epoch 41/50: BatchSize=32, Loss=0,178880, MSE=0,141044, RMSE=0,375558, R²=0,396630
Model=CNNV5dropout, Epoch 42/50: BatchSize=32, Loss=0,138287, MSE=0,143589, RMSE=0,378932, R²=0,385741
Model=CNNV5dropout, Epoch 43/50: BatchSize=32, Loss=0,140530, MSE=0,138294, RMSE=0,371879, R²=0,408394
Model=CNNV5dropout, Epoch 44/50: BatchSize=32, Loss=0,195832, MSE=0,142464, RMSE=0,377444, R²=0,390553
Model=CNNV5dropout, Epoch 45/50: BatchSize=32, Loss=0,170246, MSE=0,136618, RMSE=0,369619, R²=0,415562
Model=CNNV5dropout, Epoch 46/50: BatchSize=32, Loss=0,210883, MSE=0,134885, RMSE=0,367267, R²=0,422976
Model=CNNV5dropout, Epoch 47/50: BatchSize=32, Loss=0,197516, MSE=0,136420, RMSE=0,369351, R²=0,416410
Model=CNNV5dropout, Epoch 48/50: BatchSize=32, Loss=0,166146, MSE=0,141115, RMSE=0,375652, R²=0,396326
Model=CNNV5dropout, Epoch 49/50: BatchSize=32, Loss=0,114016, MSE=0,127551, RMSE=0,357143, R²=0,454349
